State,County,FIPS,State population age 18-64,State disability population age 18-64,State disability prevalence,State DI disabled workers,"State DI disabled workers per 1,000 persons age 18-64",State SSI recipients age 18-64,"State SSI recipients per 1,000 persons age 18-64",County population age 18-64,County disability population age 18-64,County disability prevalence,County DI disabled workers,"County DI disabled workers per 1,000 persons age 18-64",County SSI recipients age 18-64,"County SSI recipients per 1,000 persons age 18-64"
Alabama,Autauga,01001,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,32994,5345,16.199915136085348,2420,73.34666909134994,827,25.065163363035705
Alabama,Baldwin,01003,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,119865,13431,11.205105743961957,7610,63.48809076878155,1746,14.566387185583782
Alabama,Barbour,01005,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,13004,2454,18.871116579514,1545,118.80959704706244,695,53.44509381728699
Alabama,Bibb,01007,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,12340,1818,14.73257698541329,1370,111.02106969205835,591,47.89303079416531
Alabama,Blount,01009,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,33712,4146,12.29829140958709,2700,80.09017560512576,772,22.899857617465592
Alabama,Bullock,01011,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,6316,799,12.650411652944902,530,83.91386953768207,234,37.048765041165296
Alabama,Butler,01013,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,11496,1827,15.892484342379959,1200,104.38413361169103,576,50.104384133611696
Alabama,Calhoun,01015,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,69560,13034,18.737780333525013,6670,95.88844163312248,2806,40.33927544565843
Alabama,Chambers,01017,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,20216,3063,15.151365255243372,2420,119.70716264345073,775,38.33597150771666
Alabama,Cherokee,01019,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,14841,2611,17.593154100128025,1750,117.91658244053635,560,37.733306380971634
Alabama,Chilton,01021,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,26176,4615,17.630654034229828,2290,87.48471882640587,854,32.62530562347189
Alabama,Choctaw,01023,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,7477,1925,25.745619901029826,1050,140.4306540056172,505,67.54045740270162
Alabama,Clarke,01025,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,14239,2024,14.214481354027669,1630,114.47433106257462,770,54.07683123814875
Alabama,Clay,01027,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,7840,850,10.841836734693878,885,112.88265306122449,271,34.566326530612244
Alabama,Cleburne,01029,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,8601,1833,21.311475409836063,770,89.5244738983839,320,37.204976165562144
Alabama,Coffee,01031,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,29323,4492,15.319032841114483,2090,71.27510827677932,754,25.713603655833307
Alabama,Colbert,01033,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,32165,5237,16.28167262552464,3155,98.08798383335925,1177,36.592569563189805
Alabama,Conecuh,01035,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,7111,1484,20.86907607931374,985,138.51778934045845,412,57.93840528758262
Alabama,Coosa,01037,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,6286,1109,17.642379891823097,790,125.67610563156221,279,44.38434616608336
Alabama,Covington,01039,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,21208,3685,17.37551867219917,2145,101.14107883817428,849,40.03206337231234
Alabama,Crenshaw,01041,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,8137,1706,20.96595796976773,805,98.93080988079144,336,41.29285977633034
Alabama,Cullman,01043,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,48436,7502,15.488479643240566,4130,85.26715666033529,1617,33.3842596415889
Alabama,Dale,01045,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,27182,5202,19.137664631005812,2575,94.73180781399455,1012,37.230520197189314
Alabama,Dallas,01047,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,23454,4065,17.3317984139166,2765,117.89033853500469,2228,94.99445723543958
Alabama,DeKalb,01049,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,41741,5819,13.940729738147144,3515,84.20976977072903,1191,28.53309695503222
Alabama,Elmore,01051,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,46694,7632,16.344712382747247,3600,77.09769991861909,1237,26.491626333147728
Alabama,Escambia,01053,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,19925,3414,17.134253450439147,2130,106.90087829360101,755,37.89209535759097
Alabama,Etowah,01055,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,61666,11161,18.09911458502254,6490,105.24438102033535,2906,47.12483378198684
Alabama,Fayette,01057,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,9523,2387,25.06563057859918,1175,123.38548776646014,450,47.25401659141027
Alabama,Franklin,01059,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,18539,2615,14.105399428232376,1510,81.44991639246993,735,39.6461513565996
Alabama,Geneva,01061,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,15326,2858,18.64804906694506,1530,99.83035364739658,678,44.23854887119927
Alabama,Greene,01063,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,4836,1139,23.552522746071133,675,139.57816377171218,422,87.26220016542598
Alabama,Hale,01065,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,8587,1667,19.41306626295563,1290,150.22708745778502,552,64.28321881914522
Alabama,Henry,01067,2924082,416469,14.24272643516837,222985,76.25812135227397,89823,30.718358787475864,9764,1742,17.841048750512083,1030,105.48955346169603,306,31.339614911921345
